# models=47666+249,vertices=153
5,-182,-17
8,-183,-17
1,-183,-17
5,-181,-17
8,-179,-15
10,-184,-12
9,-185,-15
8,-186,-17
3,-186,-17
3,-184,-17
0,-186,-18
0,-182,-19
0,-178,-20
2,-177,-17
6,-172,-13
10,-180,-10
10,-182,-8
10,-183,-5
9,-188,-12
8,-188,-16
7,-190,-17
3,-187,-19
0,-190,-17
-3,-187,-19
-3,-186,-17
-1,-183,-17
-2,-177,-17
-5,-181,-17
-8,-179,-15
-6,-172,-13
-10,-180,-10
-10,-178,-9
-10,-180,-8
-11,-181,-4
-10,-177,-7
-10,-181,-4
-8,-174,-2
-3,-169,-9
-5,-173,2
-7,-165,4
-7,-164,-8
7,-164,-8
3,-169,-9
7,-165,4
5,-173,2
8,-174,-2
10,-177,-7
10,-181,-4
11,-181,-4
10,-178,-9
10,-180,-8
-8,-183,-17
-5,-182,-17
-10,-184,-12
-10,-182,-8
-11,-182,-8
-11,-183,-5
-10,-183,-5
-8,-183,3
0,-183,4
-3,-184,-17
-8,-186,-17
-9,-185,-15
-9,-188,-12
11,-182,-8
11,-183,-5
-8,-190,3
-6,-192,3
0,-193,4
0,-190,4
0,-188,4
-8,-188,3
-9,-191,-1
-8,-195,2
-4,-195,0
-2,-197,1
0,-196,3
2,-197,1
4,-195,0
6,-192,3
8,-190,3
8,-188,3
-10,-188,-5
-10,-191,-7
-8,-194,-4
-9,-195,0
-5,-197,0
-8,-196,-2
-5,-198,-2
0,-195,-4
0,-197,-1
10,-188,-5
8,-183,3
9,-191,-1
10,-191,-7
8,-191,-13
6,-191,-17
8,-196,-2
9,-195,0
5,-197,0
8,-194,-4
8,-195,2
-8,-188,-16
-8,-191,-13
-7,-190,-17
-8,-195,-14
-3,-196,-15
-6,-197,-12
-8,-192,-10
-6,-191,-17
-6,-195,-17
0,-193,-14
-4,-195,-10
-9,-196,-10
-11,-195,-7
6,-197,-12
3,-196,-15
8,-195,-14
8,-192,-10
4,-195,-10
6,-195,-17
11,-195,-7
9,-196,-10
7,-197,-8
7,-198,-5
5,-198,-7
0,-198,-8
3,-198,-10
0,-197,-13
-2,-198,-10
-3,-198,-5
-5,-198,-7
-7,-197,-5
-9,-196,-5
-6,-197,-8
9,-196,-5
5,-198,-2
3,-198,-5
-6,-172,-13
0,-175,-19
0,-177,-18
-3,-177,-17
6,-172,-13
3,-177,-17
0,-174,-17
0,-172,-18
0,-167,-18
3,-169,-9
10,-177,-7
10,-178,-9
-3,-169,-9
-10,-177,-7
-10,-178,-9
